1732546644555,Bid{auction=1002, bidder=2001, price=1393677, channel='Apple', url='https://www.nexmark.com/kfuq/wco/feo/item.htm?query=1', dateTime=2024-11-25T14:57:24.555Z, extra='wrfmui_HQ^RXa]VZNLVHLM`]fqdcyzMXYXWNdoekbyjzksbdjfxgrgQIRS^[\OXMLTbdhbwvmx'}
1732546644555,Bid{auction=1000, bidder=2003, price=17851222, channel='Baidu', url='https://www.nexmark.com/nho/sty/k_w/item.htm?query=1', dateTime=2024-11-25T14:57:24.555Z, extra='OWIQMIaVIQQaIXWHOOUaaawkhcdyieyhpsHa^ZMU_K`]`LZ^VJQ^\XYQWThomhjculapkoVH\ZK'}
1732546644555,Bid{auction=1000, bidder=2009, price=41619826, channel='channel-4794', url='https://www.nexmark.com/gkj/r_nx/_lff/item.htm?query=1&channel_id=1564999680', dateTime=2024-11-25T14:57:24.555Z, extra='SXaecrznX\[P]_MJ\L_UNXY]aWNP]\JUglruhx\_`PSHaktclulmhynnfsn'}
1732546644555,Bid{auction=1006, bidder=2009, price=44791644, channel='channel-9865', url='https://www.nexmark.com/yyxr/asp/frz/item.htm?query=1&channel_id=1855717376', dateTime=2024-11-25T14:57:24.555Z, extra='kcvylejrpfonaotkivVPR[_`kaiysmcasapfmzebvnKQ]NNIboesytxxeiliP`aJLWerjnmduzfgqrN\_'}
1732546644555,Bid{auction=1009, bidder=2001, price=1638949, channel='channel-9', url='https://www.nexmark.com/pqan/seu/jbsk/item.htm?query=1&channel_id=1879048192', dateTime=2024-11-25T14:57:24.555Z, extra='grtilUMNXMPsoizmoV]T`S]hizedirohpsjhoazyuLQZMISSPRT]UkzirjualechdYYNLZV^Q'}
1732546644555,Bid{auction=1010, bidder=2001, price=6129407, channel='channel-3150', url='https://www.nexmark.com/xcuh/rb__/mer/item.htm?query=1&channel_id=1915748352', dateTime=2024-11-25T14:57:24.555Z, extra='JTKaSUKaWVLJIWIL^lpvovgguwihklkuylkqsjfnvMOOa]Sxylutotlbewha]XUPVS`HVNQXMTIR'}
1732546644555,Bid{auction=1004, bidder=2001, price=526502, channel='channel-7077', url='https://www.nexmark.com/zlhf/jkfo/zrip/item.htm?query=1', dateTime=2024-11-25T14:57:24.555Z, extra='nux_O]YY\VHaa^NXSNUL`X\JQXKH`[__[hvqwpxPXJ]``VMK\QZZWOY^Uhzfjfv'}
1732546644555,Bid{auction=1000, bidder=2001, price=943, channel='channel-6990', url='https://www.nexmark.com/nfxx/b_cn/kvrj/item.htm?query=1&channel_id=1926758400', dateTime=2024-11-25T14:57:24.555Z, extra='VTKKV]KNJJOZKN]IKaH`X]VIZ]RaJmuycftUKOHWQUVHNaaPYaR`Wifughxwgldqmtl'}
1732546644555,Bid{auction=1006, bidder=2001, price=106, channel='channel-6316', url='https://www.nexmark.com/hfr/_enl/cal/item.htm?query=1&channel_id=890765312', dateTime=2024-11-25T14:57:24.555Z, extra='ouratztwfxwrxt[PZN_\aINQRWH[LPTWOXH]`XJLTOV`uuspyyXQ[UW\ys'}
1732546644555,Bid{auction=1000, bidder=2001, price=303, channel='channel-733', url='https://www.nexmark.com/fbq/xwfm/gyc/item.htm?query=1', dateTime=2024-11-25T14:57:24.555Z, extra='_KHHHPUTY_^aRLTaHa^UMPVHgatopu`]MX[JlgtpfhVMISWJZRVZZVUH_^XYggtbabI\_JMLoklr'}
1732546644555,Bid{auction=1000, bidder=2003, price=64682, channel='channel-808', url='https://www.nexmark.com/wqug/wttw/pxd/item.htm?query=1&channel_id=348127232', dateTime=2024-11-25T14:57:24.555Z, extra='nklcfrdaeiqyevlglcnojqQIQWMW_^\UWVvgzqouS]T\RKaMR_QNyflrqauspmlcLUK[VWqonofwXP[`'}
